CS Value,CS Voltage,Time (ms)
8577.0,1.0625,0
8569.0,1.06275,101
8605.0,1.07025,202
8562.0,1.07225,303
8512.0,1.072625,404
8501.0,1.073,505
8489.0,1.0725,606
8477.0,1.0715000000000001,707
8493.0,1.07225,808
8489.0,1.07125,909
8488.0,1.06775,1010
8513.0,1.063,1111
8514.0,1.062375,1212
8581.0,1.061375,1313
8574.0,1.06075,1414
8588.0,1.061625,1515
8594.0,1.063,1616
8598.0,1.065125,1717
8583.0,1.064,1818
8539.0,1.0695000000000001,1919
8527.0,1.068375,2020
8479.0,1.06825,2121
8475.0,1.070375,2222
8481.0,1.0715000000000001,2323
8490.0,1.072875,2424
8492.0,1.071,2525
8498.0,1.07125,2626
8498.0,1.070625,2727
8517.0,1.065625,2828
8540.0,1.064,2929
8587.0,1.062,3030
8590.0,1.062,3131
8604.0,1.063375,3232
8602.0,1.064125,3333
8619.0,1.068625,3434
8627.0,1.069375,3535
8630.0,1.074125,3636
8584.0,1.080375,3737
8567.0,1.075875,3838
8537.0,1.07675,3939
8523.0,1.076875,4040
8549.0,1.07875,4141
